NAZEV;Pb;Zn
benesov;2,833213344;2,928523524
benesov;2,766319109;2,928523524
benesov;3,015534901;2,93385687
benesov;2,240709689;2,93385687
benesov;2,595254707;2,93385687
benesov;2,493205453;2,93385687
benesov;3,04927304;2,93385687
benesov;2,970414466;2,93385687
benesov;2,397895273;2,93385687
benesov;2,442347035;2,93385687
benesov;2,623218266;2,936512914
benesov;2,667228207;2,939161922
benesov;2,624668592;2,939161922
benesov;2,856470206;2,939161922
benesov;2,646174797;2,939161922
benesov;2,674148649;2,940219564
benesov;2,774461967;2,940219564
benesov;2,731115474;2,943385793
benesov;2,867898902;2,944438979
benesov;2,360854001;2,944438979
benesov;2,939161922;2,944438979
benesov;2,379546134;2,944438979
benesov;2,617395833;2,944438979
benesov;2,63905733;2,944438979
benesov;3,254242969;2,944438979
benesov;2,302585093;2,944438979
benesov;2,57261223;2,944438979
benesov;2,415913778;2,944438979
benesov;2,93385687;2,944438979
benesov;2,653241965;2,944438979
benesov;2,970414466;2,949688335
benesov;2,442347035;2,949688335
benesov;3,000719815;2,949688335
benesov;2,370243741;2,949688335
benesov;3,04927304;2,954910279
benesov;2,674148649;2,954910279
benesov;2,602689685;2,954910279
benesov;3,020424886;2,954910279
benesov;2,803360381;2,954910279
benesov;2,332143895;2,954910279
benesov;2,803360381;2,954910279
benesov;2,533696814;2,954910279
benesov;2,592265168;2,959068289
benesov;3,020424886;2,960105096
benesov;2,912350665;2,960105096
benesov;2,653241965;2,960105096
benesov;2,549445171;2,960105096
benesov;2,980618636;2,960105096
benesov;2,827313622;2,960105096
benesov;2,624668592;2,965273066
benesov;2,653241965;2,965273066
benesov;2,740840024;2,965273066
benesov;2,862200881;2,965273066
benesov;2,879198457;2,965273066
benesov;2,509599262;2,965273066
benesov;2,586259144;2,968874819
benesov;2,351375257;2,970414466
benesov;2,406945108;2,970414466
benesov;2,379546134;2,970414466
benesov;2,827313622;2,970414466
benesov;2,821378886;2,973486665
benesov;2,4765384;2,975529566
benesov;2,923161581;2,975529566
benesov;3,020424886;2,975529566
benesov;2,734367509;2,980618636
benesov;2,890371758;2,980618636
benesov;2,721295428;2,980618636
benesov;2,459588842;2,985681938
benesov;2,351375257;2,985681938
benesov;3,0301337;2,985681938
benesov;2,844909384;2,985681938
benesov;2,879198457;2,985681938
benesov;2,653241965;2,985681938
benesov;2,424802726;2,985681938
benesov;2,595254707;2,985681938
benesov;2,397895273;2,990719732
benesov;2,617395833;2,990719732
benesov;2,833213344;2,990719732
benesov;2,90690106;2,990719732
benesov;2,797281335;2,990719732
benesov;2,833213344;2,990719732
benesov;2,890371758;2,995732274
benesov;2,721295428;2,995732274
benesov;2,541601993;2,995732274
benesov;2,867898902;2,995732274
benesov;2,140066163;2,995732274
benesov;2,360854001;2,995732274
benesov;2,895911938;3,000719815
benesov;2,602689685;3,000719815
benesov;3,18221184;3,000719815
benesov;3,363841595;3,000719815
benesov;3,198673118;3,000719815
benesov;2,602689685;3,000719815
benesov;2,895911938;3,005682604
benesov;2,292534757;3,005682604
benesov;2,970414466;3,005682604
benesov;2,653241965;3,010620886
benesov;2,949688335;3,010620886
benesov;2,681021529;3,010620886
benesov;3,068052935;3,010620886
benesov;2,923161581;3,010620886
benesov;2,58021683;3,010620886
benesov;3,242592351;3,010620886
benesov;2,351375257;3,015534901
benesov;2,406945108;3,015534901
benesov;2,602689685;3,015534901
benesov;2,541601993;3,015534901
benesov;3,353406718;3,015534901
benesov;2,451005098;3,015534901
benesov;2,116255515;3,015534901
benesov;2,667228207;3,018471761
benesov;2,928523524;3,020424886
benesov;3,039749159;3,020424886
benesov;2,341805806;3,020424886
benesov;2,803360381;3,020424886
benesov;2,995732274;3,025291076
benesov;2,468099531;3,025291076
benesov;2,778819272;3,025291076
benesov;2,850706502;3,025291076
benesov;2,90690106;3,025291076
benesov;2,397895273;3,025291076
benesov;2,557227311;3,025291076
benesov;3,065724645;3,026746327
benesov;2,954910279;3,0301337
benesov;2,667228207;3,0301337
benesov;2,63188884;3,0301337
benesov;2,617395833;3,034952987
benesov;2,557227311;3,034952987
benesov;3,025291076;3,034952987
benesov;2,815408719;3,039749159
benesov;2,928523524;3,039749159
benesov;2,839078464;3,039749159
benesov;2,753660712;3,039749159
benesov;2,727852828;3,039749159
benesov;2,646174797;3,039749159
benesov;2,602689685;3,044522438
benesov;3,054001182;3,044522438
benesov;2,549445171;3,044522438
benesov;2,708050201;3,044522438
benesov;2,90690106;3,044522438
benesov;2,459588842;3,044522438
benesov;2,714694744;3,04927304
benesov;2,451005098;3,04927304
benesov;2,533696814;3,04927304
benesov;2,827313622;3,04927304
benesov;2,944438979;3,04927304
benesov;2,785011242;3,04927304
benesov;2,468099531;3,054001182
benesov;2,557227311;3,054001182
benesov;2,493205453;3,054001182
benesov;2,302585093;3,054001182
benesov;2,302585093;3,054001182
benesov;2,827313622;3,058707073
benesov;2,714694744;3,058707073
benesov;2,844909384;3,058707073
benesov;2,721295428;3,063390922
benesov;2,63905733;3,063390922
benesov;2,525728644;3,063390922
benesov;2,595254707;3,063390922
benesov;2,451005098;3,063390922
benesov;3,072693315;3,063390922
benesov;2,663749942;3,066190737
benesov;2,856470206;3,068052935
benesov;2,766319109;3,068052935
benesov;3,152736022;3,068052935
benesov;2,772588722;3,068052935
benesov;2,944438979;3,077312261
benesov;2,32238772;3,077312261
benesov;3,005682604;3,077312261
benesov;2,48490665;3,077312261
benesov;2,778819272;3,077312261
benesov;2,867898902;3,08190997
benesov;2,360854001;3,08190997
benesov;2,424802726;3,08190997
benesov;2,694627181;3,08190997
benesov;2,815408719;3,08190997
benesov;3,321432413;3,08190997
benesov;2,564949357;3,086486637
benesov;2,525728644;3,086486637
benesov;3,08190997;3,086486637
benesov;2,963725477;3,089677886
benesov;3,04927304;3,091042453
benesov;2,867898902;3,091042453
benesov;2,424802726;3,091042453
benesov;2,624668592;3,091042453
benesov;2,895911938;3,091042453
benesov;3,005682604;3,095577609
benesov;2,714694744;3,095577609
benesov;3,005682604;3,095577609
benesov;2,747270914;3,095577609
benesov;2,827313622;3,095577609
benesov;3,058707073;3,095577609
benesov;2,876385516;3,096482177
benesov;3,310543013;3,100092289
benesov;3,034952987;3,100092289
benesov;2,912350665;3,104586678
benesov;3,493472658;3,104586678
benesov;2,4765384;3,104586678
benesov;2,867898902;3,104586678
benesov;2,797281335;3,109060959
benesov;2,839078464;3,109060959
benesov;2,624668592;3,109060959
benesov;2,442347035;3,113515309
benesov;2,76000994;3,117949906
benesov;2,312535424;3,117949906
benesov;3,46260601;3,117949906
benesov;2,708050201;3,117949906
benesov;2,862200881;3,117949906
benesov;2,459588842;3,122364924
benesov;2,370243741;3,122364924
benesov;2,451005098;3,122364924
benesov;3,072693315;3,122364924
benesov;2,90690106;3,122364924
benesov;2,995732274;3,122364924
benesov;2,674148649;3,126760536
benesov;3,250374492;3,126760536
benesov;2,433613355;3,126760536
benesov;2,564949357;3,126760536
benesov;2,856470206;3,126760536
benesov;2,660259537;3,131136911
benesov;2,660259537;3,131136911
benesov;2,694627181;3,131136911
benesov;2,63905733;3,131136911
benesov;2,351375257;3,135494216
benesov;2,740840024;3,135494216
benesov;3,063390922;3,135494216
benesov;3,194583132;3,135494216
benesov;2,48490665;3,135494216
benesov;3,072693315;3,135494216
benesov;2,415913778;3,139832618
benesov;2,415913778;3,139832618
benesov;2,272125886;3,144152279
benesov;2,928523524;3,144152279
benesov;2,163323026;3,144152279
benesov;2,93385687;3,144152279
benesov;3,165475048;3,14458322
benesov;2,76000994;3,148453361
benesov;2,415913778;3,148453361
benesov;2,884800713;3,148453361
benesov;3,058707073;3,148453361
benesov;2,809402695;3,148453361
benesov;2,646174797;3,152736022
benesov;2,76000994;3,157000421
benesov;2,370243741;3,157000421
benesov;2,602689685;3,161246712
benesov;2,624668592;3,161246712
benesov;2,867898902;3,162517091
benesov;3,246490992;3,165475048
benesov;3,072693315;3,165475048
benesov;2,850706502;3,165475048
benesov;2,468099531;3,165475048
benesov;2,990719732;3,165475048
benesov;2,493205453;3,169685581
benesov;2,821378886;3,169685581
benesov;2,766319109;3,173878459
benesov;2,595254707;3,173878459
benesov;2,862200881;3,173878459
benesov;2,681021529;3,173878459
benesov;2,57261223;3,173878459
benesov;2,778819272;3,173878459
benesov;3,015534901;3,173878459
benesov;2,862200881;3,177637077
benesov;2,660259537;3,17805383
benesov;3,144152279;3,18221184
benesov;3,020424886;3,18221184
benesov;2,128231706;3,18221184
benesov;2,312535424;3,18221184
benesov;3,058707073;3,186352633
benesov;2,76000994;3,19047635
benesov;2,949688335;3,19047635
benesov;2,509599262;3,194583132
benesov;2,747270914;3,194583132
benesov;3,306886702;3,194583132
benesov;2,879198457;3,195402469
benesov;2,917770732;3,198673118
benesov;2,282382386;3,198673118
benesov;2,646174797;3,198673118
benesov;3,173878459;3,202339856
benesov;2,442347035;3,202746443
benesov;2,667228207;3,206803244
benesov;2,4765384;3,210843653
benesov;2,424802726;3,210843653
benesov;2,980618636;3,210843653
benesov;3,058707073;3,212455257
benesov;2,844909384;3,214867803
benesov;2,653241965;3,214867803
benesov;2,785011242;3,214867803
benesov;2,646174797;3,214867803
benesov;3,288401888;3,222867846
benesov;2,660259537;3,222867846
benesov;2,862200881;3,222867846
benesov;2,93385687;3,226843995
benesov;2,753660712;3,226843995
benesov;3,292126287;3,226843995
benesov;2,667228207;3,230804396
benesov;3,363841595;3,230804396
benesov;3,391147046;3,230804396
benesov;3,015534901;3,230804396
benesov;3,032546247;3,231989464
benesov;2,912350665;3,234749174
benesov;3,292126287;3,234749174
benesov;2,76000994;3,234749174
benesov;2,995732274;3,242592351
benesov;2,844909384;3,242592351
benesov;2,564949357;3,242592351
benesov;2,58021683;3,242592351
benesov;3,131136911;3,246490992
benesov;2,208274414;3,250374492
benesov;2,151762203;3,250374492
benesov;2,595254707;3,250374492
benesov;2,844909384;3,254242969
benesov;2,63905733;3,258096538
benesov;3,161246712;3,261935314
benesov;2,827313622;3,265759411
benesov;3,186352633;3,269568939
benesov;3,157000421;3,269568939
benesov;2,884800713;3,27336401
benesov;2,890371758;3,27336401
benesov;2,850706502;3,280911216
benesov;2,879198457;3,282413846
benesov;2,57261223;3,284663565
benesov;2,541601993;3,284663565
benesov;2,272125886;3,284663565
benesov;3,46885603;3,284663565
